username,first_name,last_name,email,password
snoble,Cody,Mason,valerie19@example.org,rU9Ld^Vm!u
sherrycunningham,Rachel,Parsons,hoodmackenzie@example.org,)fYqL2c&W9
ygarcia,James,Carpenter,jeffrey65@example.com,M2hw*DiZ!#
gsmith,Melissa,Rodriguez,brownbrandon@example.net,#YZv2Oa6N+
petersimpson,Morgan,Johnson,paula65@example.org,hyaUGdxj$3
shane51,Jorge,Hays,pbarber@example.com,14**4iEctS
carol98,Gregory,Rodriguez,vhicks@example.org,E(j55JrUtm
summermccarty,Megan,Christensen,srodriguez@example.org,&&n8UToiJC
eperez,Robert,Brooks,diana12@example.com,j8WlnEKL$S
andre25,Mary,Fleming,dunlapjordan@example.com,%_wa7EGvdy
